feature,ANN,DT,ElasticNet,LightGBM,RF,XGBoost
CDD_US_daily,23,24,23,19,23,26
HDD_SIA_daily,16,22,5,24,21,21
HDD_SIA_rolling_7d,20,15,11,15,14,15
Humidity_avg_daily,25,21,18,18,18,17
Precipitation_total_daily,26,19,20,26,19,23
Survey_Building_LivingArea,1,1,1,1,1,1
Survey_Building_Residents,3,2,7,2,2,2
building_type_house,18,16,14,17,17,20
day_of_week,19,18,15,14,16,16
dhw_combined,22,26,25,21,24,22
dhw_ewh,2,3,2,6,7,6
dhw_hp,4,7,3,9,9,9
dhw_solar,15,12,12,13,13,14
has_dryer,12,9,8,7,5,8
has_ev,7,8,10,3,4,4
has_pv,5,4,6,4,3,3
has_reactive_energy,11,13,26,23,26,12
heat_dist_both,10,11,22,11,11,11
heat_dist_floor,8,10,21,10,10,10
heat_dist_radiator,13,6,17,5,6,5
hp_type_air_source,6,5,9,8,8,7
hp_type_unknown,9,14,16,16,15,18
is_heating_season,24,25,24,20,22,25
is_weekend,21,23,19,22,20,24
month,17,20,13,25,25,19
temp_avg_rolling_7d,14,17,4,12,12,13
